model,cohort,term,estimate,conf.low,conf.high,p.value,log_hr,se_log_hr,n,n_events
CSH_disability,CHARLS,ic_cfa_c,0.6311312048421983,0.5825530572405699,0.6837602047998055,2.0087062700348e-29,-0.4602415064515859,0.04086478449550546,8955,3199
CSH_disability,CHARLS,env_form_c,0.8259470141164855,0.7841190025503355,0.870006297397627,5.523698022339174e-13,-0.19122465507743586,0.026515704633217577,8955,3199
CSH_disability,CHARLS,age,1.0368597374968707,1.0313529022802324,1.042395976067139,1.7177006180549824e-40,0.03619666214054871,0.0027170011615410255,8955,3199
CSH_disability,CHARLS,female,1.309386217024144,1.2189034831301175,1.40658574617411,1.6051972111767715e-13,0.26955849079268834,0.036534763434803275,8955,3199
CSH_disability,CHARLS,chronic_n,1.263141243914939,1.2359618781149089,1.2909182963737345,2.358825602082084e-98,0.23360166919394984,0.011098241475244124,8955,3199
CSH_disability,CHARLS,ic_cfa_c:env_form_c,0.8002384774451017,0.7180994660262554,0.8917728686352213,5.5094303574958816e-5,-0.2228454989298578,0.05525697889502688,8955,3199
CSH_disability,ELSA,ic_cfa_c,0.566718395280339,0.5251124489845033,0.61162088267041,2.919741608436611e-48,-0.5678927559833999,0.038903824458890235,9454,2763
CSH_disability,ELSA,env_form_c,0.9017410649124982,0.8591437219463307,0.9464504335868517,2.8007924864225367e-5,-0.103427867855843,0.024689836357537274,9454,2763
CSH_disability,ELSA,age,1.0523983237322683,1.0467438565794733,1.0580833360834718,4.659005253607554e-77,0.05107167737796991,0.002748734447851791,9454,2763
CSH_disability,ELSA,female,0.9865302950682048,0.9133363959219545,1.0655898827999006,0.7302545097610148,-0.013561244342539643,0.039332238418699116,9454,2763
CSH_disability,ELSA,chronic_n,1.355126793974014,1.308708250912955,1.4031917552787174,1.7959665828568003e-65,0.3038950248423786,0.017783205403012644,9454,2763
CSH_disability,ELSA,ic_cfa_c:env_form_c,0.8994567129569553,0.828677652957333,0.976281157813466,0.011276691980351116,-0.1059643501992636,0.04181693557752121,9454,2763
CSH_disability,HRS,ic_cfa_c,0.6834701905010256,0.6480877558118009,0.7207843337795743,9.905178699486248e-45,-0.38057223678892194,0.027121380695749448,20543,7707
CSH_disability,HRS,env_form_c,0.8078404193952633,0.7832590579622034,0.8331932284404002,9.750236529172446e-42,-0.21339074071531933,0.01576612843850696,20543,7707
CSH_disability,HRS,age,1.0578419399136685,1.0546788347481344,1.0610145316015054,1.6679068887927737e-296,0.05623092710887321,0.0015278997930282337,20543,7707
CSH_disability,HRS,female,1.1017036271283975,1.050258036473366,1.1556692163989428,7.196779729536426e-5,0.09685773365981279,0.024399351741503896,20543,7707
CSH_disability,HRS,chronic_n,1.3694006753843355,1.3455392361791252,1.3936852670815987,3.6023274214500895e-269,0.3143731809019695,0.008968700058328269,20543,7707
CSH_disability,HRS,ic_cfa_c:env_form_c,0.9949373912532998,0.9365139830975094,1.057005480302427,0.8694291691606681,-0.005075467166819929,0.030875750416500005,20543,7707
CSH_disability,MHAS,ic_cfa_c,0.5938664920919694,0.5430331268041769,0.6494583719140216,3.575360704991345e-30,-0.5211007456699137,0.04565604722287196,7697,1735
CSH_disability,MHAS,env_form_c,0.9685016143626997,0.895151755525107,1.0478618527345858,0.425748553710842,-0.03200512926740017,0.04018282335222508,7697,1735
CSH_disability,MHAS,age,1.0356816508631226,1.028805055944723,1.0426042093558636,6.034899190024454e-25,0.03505980980336717,0.0033989506730988865,7697,1735
CSH_disability,MHAS,female,1.2207700466399403,1.1063888348788369,1.3469762707217534,7.063518911685453e-5,0.19948184540165048,0.05019502208037395,7697,1735
CSH_disability,MHAS,chronic_n,1.391312435010367,1.3233529448507542,1.4627619180103062,3.2497914615642756e-38,0.33024749951738464,0.025550915325362522,7697,1735
CSH_disability,MHAS,ic_cfa_c:env_form_c,0.8476396800705492,0.744852374878993,0.9646113128750213,0.0122020873544888,-0.16529963906537087,0.06595508729594629,7697,1735
CSH_disability,SHARE,ic_cfa_c,0.6106627655880601,0.574506994302155,0.6490939483315168,1.6836639128306514e-56,-0.49321041066573523,0.03113965205114501,41760,6411
CSH_disability,SHARE,env_form_c,0.7933981709438214,0.7637574881492024,0.82418917971254,1.0099697472442067e-32,-0.23143007624383688,0.01942632015190793,41760,6411
CSH_disability,SHARE,age,1.0702744175080197,1.066631491405798,1.0739297854992098,0,0.06791508055306464,0.0017395915400480624,41760,6411
CSH_disability,SHARE,female,0.9293278608784362,0.8834002980615352,0.9776431759192487,0.004592135541572725,-0.07329368436847966,0.025859229275834582,41760,6411
CSH_disability,SHARE,chronic_n,1.354225411816001,1.3277911668225664,1.381185921274687,1.1117278546237465e-199,0.30322963908017103,0.01005776353330065,41760,6411
CSH_disability,SHARE,ic_cfa_c:env_form_c,0.917061720406281,0.8489277686045483,0.9906640236506241,0.027942102399910154,-0.08658050211359992,0.039388821932339425,41760,6411
CSH_death,HRS,ic_cfa_c,1.0148530401340172,0.8245912257647627,1.249014858379141,0.8893002933529685,0.01474381396564653,0.10592608586940126,20543,510
CSH_death,HRS,env_form_c,0.8034599863866655,0.7100592736587377,0.9091465651848077,5.19269677714888e-4,-0.21882789418999538,0.06305163522889294,20543,510
CSH_death,HRS,age,1.0734553143688117,1.0609363813993953,1.0861219693745732,2.340456260766374e-32,0.07088271135834873,0.005985219421143814,20543,510
CSH_death,HRS,female,0.5012034617297966,0.41579882234834087,0.6041501239257514,4.258452609357194e-13,-0.6907431491010024,0.09531327523864899,20543,510
CSH_death,HRS,chronic_n,1.2878845881361227,1.200828876411409,1.3812515212952716,1.390294571119619e-12,0.2530010181829739,0.03570931407038675,20543,510
