"cohort","model","variable","log_hr","se_log_hr","hr","p_value","hr_lower","hr_upper","n","n_events"
"CHARLS","M4_IPCW","ic_cfa",-0.457785649197551,0.0411450731309535,0.632683077799111,9.36065571392459e-29,0.583663890071817,0.685819156782345,8665,3128
"CHARLS","M4_IPCW","env_formative",-0.19115336579734,0.0263730905862333,0.826005897383367,4.22827963683891e-13,0.784393380722308,0.86982598181007,8665,3128
"CHARLS","M4_IPCW","ic_env_cont",-0.223416752177703,0.053862805102323,0.799781469161972,3.35560031986226e-05,0.719651760334565,0.888833229724207,8665,3128
"CHARLS","M4_IPCW","age",0.0361522961224688,0.00271554762088916,1.03681373717944,1.94309811943933e-40,1.03130998349191,1.04234686254488,8665,3128
"CHARLS","M4_IPCW","female",0.270366567634866,0.0368056937313671,1.31044472932563,2.04560998795748e-13,1.21923962704719,1.40847242045132,8665,3128
"CHARLS","M4_IPCW","chronic_n",0.233676489029213,0.0111712389036452,1.26323575547035,3.69603684829749e-97,1.23587702627175,1.29120012750189,8665,3128
"ELSA","M4_IPCW","ic_cfa",-0.573417833811426,0.0390077103789946,0.563595866091551,6.43502083485893e-49,0.522112108898396,0.608375662739704,9293,2715
"ELSA","M4_IPCW","env_formative",-0.0976596597150794,0.0250967353774314,0.906957525415361,9.96965495238441e-05,0.863424119248309,0.952685863841376,9293,2715
"ELSA","M4_IPCW","ic_env_cont",-0.12084072328263,0.042581592153199,0.886175095412965,0.00454166768225382,0.815217244247157,0.963309234773852,9293,2715
"ELSA","M4_IPCW","age",0.0505724691932146,0.00278515191398152,1.05187308898709,1.11227184719307e-73,1.04614666554728,1.05763085786487,9293,2715
"ELSA","M4_IPCW","female",-0.0236137868116251,0.0397032130527493,0.976662836995708,0.552005528385763,0.903542541896823,1.0557004821998,9293,2715
"ELSA","M4_IPCW","chronic_n",0.29931872994484,0.0185473458359356,1.34893950237482,1.37738861311584e-58,1.30078240328035,1.39887945630137,9293,2715
"HRS","M4_IPCW","ic_cfa",-0.360182058553321,0.0271896977728538,0.69754931969007,4.69572461219537e-40,0.661348817720189,0.735731342315554,20480,8199
"HRS","M4_IPCW","env_formative",-0.215206444723456,0.0154634894434249,0.806374951138737,4.98951269133842e-44,0.78230163990477,0.831189056312288,20480,8199
"HRS","M4_IPCW","ic_env_cont",-0.00921810878358582,0.0309020690156342,0.990824247732281,0.76547367094475,0.932593220539011,1.05269121442554,20480,8199
"HRS","M4_IPCW","age",0.0568389222739007,0.00151313732545665,1.05848529825806,8.44282441455708e-309,1.05535074682029,1.06162915978799,20480,8199
"HRS","M4_IPCW","female",0.0482368860608937,0.0238500371952611,1.04941921866765,0.0431239194620353,1.00149192497255,1.0996401159592,20480,8199
"HRS","M4_IPCW","chronic_n",0.313021299401351,0.00906582234684547,1.36755065872775,3.08926710024193e-261,1.34346525556181,1.39206786066427,20480,8199
"MHAS","M4_IPCW","ic_cfa",-0.53259397399425,0.0454815501930534,0.587080122256422,1.13132215004211e-31,0.537010402918805,0.641818236807468,7616,1746
"MHAS","M4_IPCW","env_formative",-0.0435252527512009,0.0395823826956935,0.957408376590162,0.271501324129714,0.885939404582693,1.03464276994968,7616,1746
"MHAS","M4_IPCW","ic_env_cont",-0.180599910571282,0.0641260160055516,0.834769274255341,0.00485760073877954,0.736175379008892,0.94656757222571,7616,1746
"MHAS","M4_IPCW","age",0.0356359721870246,0.00351156934784964,1.03627854360886,3.37665098011848e-24,1.02917066290724,1.04343551429126,7616,1746
"MHAS","M4_IPCW","female",0.20835940962049,0.0503059032354791,1.23165575893756,3.44518496946362e-05,1.11601001650188,1.35928520899748,7616,1746
"MHAS","M4_IPCW","chronic_n",0.322097785230575,0.0253469918672021,1.38001971490564,5.37006502845722e-37,1.31313535869798,1.45031081595167,7616,1746
"SHARE","M4_IPCW","ic_cfa",-0.483976716276888,0.0317665890414618,0.616327552145296,2.05860833126912e-52,0.579123670589494,0.655921473813617,41085,6672
"SHARE","M4_IPCW","env_formative",-0.22737109321682,0.0189250804392284,0.796625105258752,2.98985549966715e-33,0.767617090014296,0.826729324534319,41085,6672
"SHARE","M4_IPCW","ic_env_cont",-0.0723770258639934,0.0406149208997494,0.930180127724715,0.0747442658892141,0.859003510027527,1.0072544057314,41085,6672
"SHARE","M4_IPCW","age",0.0682551350071683,0.0017531197184852,1.0706384309795,0,1.06696590780261,1.07432359507245,41085,6672
"SHARE","M4_IPCW","female",-0.108027894488149,0.0257897446348941,0.897602557917304,2.80442408296507e-05,0.853358281925529,0.944140777730213,41085,6672
"SHARE","M4_IPCW","chronic_n",0.281423478953661,0.0107613880736625,1.32501460093845,9.54411552480382e-151,1.29735964698878,1.35325905717435,41085,6672
