cohort,variable,K,BIC,loglik,npm,delta_BIC
CHARLS,env_formative,1,24816.44427125038,-12396.212584273715,3,3418.606885192996
CHARLS,env_formative,2,22631.13767719805,-11291.549735896075,6,1233.3002911406656
CHARLS,env_formative,3,21868.500281947294,-10898.221486919221,9,470.6628958899091
CHARLS,env_formative,4,21397.837386057385,-10650.880487622791,12,0
ELSA,env_formative,1,38969.75203627939,-19472.86646678822,3,15804.20166305684
ELSA,env_formative,2,28133.570859905158,-14042.766327249628,6,4968.02048668261
ELSA,env_formative,3,24396.659403240643,-12162.301047565896,9,1231.109030018095
ELSA,env_formative,4,23165.550373222548,-11534.736981205373,12,0
HRS,env_formative,1,42272.77666334656,-21124.378780321804,3,13833.570908131453
HRS,env_formative,2,32883.38251861349,-16417.672156603796,6,4444.176763398387
HRS,env_formative,3,29563.376817336288,-14745.659754613718,9,1124.1710621211823
HRS,env_formative,4,28439.205755215105,-14171.564672201652,12,0
MHAS,env_formative,1,17099.13812996992,-8537.559513633485,3,2831.374425530408
MHAS,env_formative,2,15063.73837864135,-7507.850086617725,6,795.9746742018378
MHAS,env_formative,3,14376.774292737698,-7152.3584923144235,9,109.01058829818612
MHAS,env_formative,4,14267.763704439512,-7085.843646813854,12,0
SHARE,env_formative,1,23903.708210747376,-11939.844554022213,3,7191.619662362231
SHARE,env_formative,2,19114.207011341794,-9533.084402967947,6,2402.1184629566487
SHARE,env_formative,3,17299.477749264886,-8613.710220578017,9,587.3892008797411
SHARE,env_formative,4,16712.088548385145,-8308.006068786672,12,0
