cohort,variable,K,BIC,loglik,npm,delta_BIC
CHARLS,ic_cfa,1,16851.051401346085,-8413.516149321567,3,2388.852285425064
CHARLS,ic_cfa,2,14761.624770756054,-7356.793282675077,6,299.42565483503313
CHARLS,ic_cfa,3,14469.733695276083,-7198.838193583616,9,7.534579355062306
CHARLS,ic_cfa,4,14462.199115921021,-7183.061352554609,12,0
ELSA,ic_cfa,1,25534.488778474897,-12755.234837885973,3,7711.830080797736
ELSA,ic_cfa,2,20094.015960413773,-10022.988877503936,6,2271.357262736612
ELSA,ic_cfa,3,18282.205947658054,-9105.074319774601,9,459.54724998089296
ELSA,ic_cfa,4,17822.65869767716,-8863.29114343268,12,0
HRS,ic_cfa,1,26895.74300242351,-13435.86194986028,3,6901.4320393853195
HRS,ic_cfa,2,21736.99056201966,-10844.476178306879,6,1742.6795989814673
HRS,ic_cfa,3,20420.20060768004,-10174.071649785594,9,425.88964464184755
HRS,ic_cfa,4,19994.31096303819,-9949.117276113195,12,0
MHAS,ic_cfa,1,14321.940861091338,-7148.960879194194,3,2520.5891886176087
MHAS,ic_cfa,2,12411.826684070773,-6181.894239332436,6,610.4750115970437
MHAS,ic_cfa,3,11917.505823145717,-5922.724257518433,9,116.15415067198774
MHAS,ic_cfa,4,11801.35167247373,-5852.637630830963,12,0
SHARE,ic_cfa,1,15134.18958565341,-7555.08524147523,3,4376.5313388431805
SHARE,ic_cfa,2,11982.74723980983,-5967.354517201965,6,1225.088992999601
SHARE,ic_cfa,3,10997.652153768582,-5462.797422829865,9,239.99390695835245
SHARE,ic_cfa,4,10757.65824681023,-5330.790917999213,12,0
