term,estimate,std.error,statistic,p.value,conf.low,conf.high,cohort,log_hr,se_log_hr,n,n_events
ic_cfa_c,0.7893558157031141,0.022091973037891337,-10.706969853452593,9.440123046621571e-27,0.7559065203174486,0.8242852615197185,CHARLS,-0.23653808931999,0.022091973037891337,6293,2379
env_obj_c,0.8941910553946865,0.01993241246575838,-5.6107517510977,2.014495760192957e-8,0.8599314272205241,0.929815585566239,CHARLS,-0.11183581814585543,0.01993241246575838,6293,2379
age,1.036757189919013,0.003117410943335368,11.579402212978708,5.24102443512493e-31,1.030441902721393,1.0431111817270364,CHARLS,0.0360977551760216,0.003117410943335368,6293,2379
female,1.2785787800356598,0.04199942790824937,5.8512495336921635,4.8789358582600226e-9,1.177545004890716,1.388281288585818,CHARLS,0.24574913296348172,0.04199942790824937,6293,2379
chronic_n,1.27081572720047,0.013047950519707755,18.36755885924628,2.389186464055251e-75,1.2387285443055907,1.3037340746881592,CHARLS,0.23965899916326522,0.013047950519707755,6293,2379
ic_cfa_c:env_obj_c,0.9497660644820688,0.01886137954843801,-2.732545225167599,0.0062847042655173845,0.9152965231046079,0.9855337089908979,CHARLS,-0.051539572625158056,0.01886137954843801,6293,2379
ic_cfa_c,0.7386389735741956,0.02036739343679891,-14.874068794054272,4.856959654628811e-50,0.7097337574857459,0.7687214078917454,ELSA,-0.3029460111345164,0.02036739343679891,9412,2771
env_obj_c,0.9074351826916343,0.020127795306289248,-4.825821106937379,1.3942762055430605e-6,0.8723340066060199,0.9439487679614177,ELSA,-0.09713313942520581,0.020127795306289248,9412,2771
age,1.0524794829145805,0.002749733552580862,18.601363273372744,3.1323973172388664e-77,1.0468225297992177,1.0581670057947683,ELSA,0.051148792716538403,0.002749733552580862,9412,2771
female,0.9853745854847589,0.03926967748097981,-0.3751856703379515,0.707522386540515,0.9123782986005711,1.0642110571991334,ELSA,-0.014733420269656594,0.03926967748097981,9412,2771
chronic_n,1.3537574944416282,0.01777901767192178,17.03603995266729,4.437821332148554e-65,1.3073965862053516,1.4017623826570258,ELSA,0.3028840553780372,0.01777901767192178,9412,2771
ic_cfa_c:env_obj_c,0.9573701241139391,0.017002441473647587,-2.5622912925153973,0.010398406421784785,0.9259922805803437,0.9898112260412241,ELSA,-0.04356520773942984,0.017002441473647587,9412,2771
ic_cfa_c,0.8473386444931787,0.012381891087607436,-13.378800270529936,8.043520545855911e-41,0.8270228879830731,0.8681534560700487,HRS,-0.1656548478325546,0.012381891087607436,20543,8217
env_obj_c,0.849082667799027,0.011740400644386764,-13.934680048693073,3.8994390292034015e-44,0.829767706499636,0.8688472341229022,HRS,-0.16359872662299957,0.011740400644386764,20543,8217
age,1.059255440636052,0.0014804985295551738,38.883015195117444,0,1.056186229072438,1.0623335711377877,HRS,0.05756624682104283,0.0014804985295551738,20543,8217
female,1.046390154967229,0.023559387086124123,1.924765403761919,0.054258713975911435,0.9991710867491206,1.0958407133004493,HRS,0.04534629319720708,0.023559387086124123,20543,8217
chronic_n,1.366991674011211,0.008701462185211997,35.926429417019406,1.181509726715062e-282,1.3438759174675041,1.390505040329483,HRS,0.31261246702188217,0.008701462185211997,20543,8217
ic_cfa_c:env_obj_c,0.9970562897237744,0.010417061589026763,-0.2830022159110265,0.7771751383638175,0.9769057337077013,1.017622489638482,HRS,-0.0029480515129761903,0.010417061589026763,20543,8217
ic_cfa_c,0.7394256595083373,0.025907945101969088,-11.652083125259011,2.2391729375049236e-31,0.7028159912876849,0.7779423244732878,MHAS,-0.30188152993279094,0.025907945101969088,7577,1735
env_obj_c,0.9668093631568062,0.02548609759139399,-1.3244061940122254,0.18536817858583313,0.9197018119732386,1.0163297848486434,MHAS,-0.03375394551124221,0.02548609759139399,7577,1735
age,1.0362885701673252,0.003359355283698322,10.610859725680854,2.652966244591616e-26,1.0294878363553905,1.0431342292117372,MHAS,0.03564564768404772,0.003359355283698322,7577,1735
female,1.2231048668568314,0.05067602222421275,3.9741201021709553,7.063991340157055e-5,1.1074603491563695,1.3508253514163866,MHAS,0.20139259861930606,0.05067602222421275,7577,1735
chronic_n,1.3799891652228748,0.025551875211402907,12.604775390684003,1.9873795822197386e-36,1.3125802975509402,1.4508598823902579,MHAS,0.32207564785051995,0.025551875211402907,7577,1735
ic_cfa_c:env_obj_c,0.9435268351853485,0.023193196954400627,-2.50635876220343,0.012198178036877007,0.901596405444659,0.9874073181068422,MHAS,-0.05813047241017196,0.023193196954400627,7577,1735
ic_cfa_c,0.7886277630227452,0.013403612378437759,-17.716183219691302,3.145433058449289e-70,0.7681798064719726,0.8096200178271032,SHARE,-0.23746085270212572,0.013403612378437759,41760,6792
env_obj_c,0.8905948629155943,0.012823976576751071,-9.03507999519892,1.6388252140004458e-19,0.8684891497621878,0.9132632342831587,SHARE,-0.11586565422750315,0.012823976576751071,41760,6792
age,1.0718565117540677,0.0016964771762045508,40.90370544762277,0,1.0682984708134269,1.075426402992805,SHARE,0.06939220271408585,0.0016964771762045508,41760,6792
female,0.894478404578752,0.025277845094274186,-4.411551631817968,1.0263247312497241e-5,0.8512425403181387,0.9399102821608607,SHARE,-0.1115145187744871,0.025277845094274186,41760,6792
chronic_n,1.3435525549013787,0.009837625922911852,30.019159960388432,5.518644242872405e-198,1.3178951409648525,1.3697094796634994,SHARE,0.2953172662103547,0.009837625922911852,41760,6792
ic_cfa_c:env_obj_c,0.9710672815067959,0.011088898124815685,-2.6476500926127553,0.008105337052135463,0.9501899537113718,0.9924033205464035,SHARE,-0.029359522147141704,0.011088898124815685,41760,6792
