analysis,term,hr,ci_lo,ci_hi,p,i2,n_cohorts,note
S10_female_only,ic_cfa_c:env_form_c,0.8970085737068253,0.8538988350753827,0.9422947406088455,1.5238709874695688e-5,6.7014964339622525,5,"N=47680, events=12957"
S11_male_only,ic_cfa_c:env_form_c,0.9055832711022384,0.8226199462361491,0.9969136594030629,0.043071367137196136,56.19213131739493,5,"N=40729, events=9778"
S12_adj_education,ic_cfa_c:env_form_c,0.9312444443057717,0.8826327126179424,0.9825335075992702,0.009210404399977,42.5292030989449,4,"N=79152, events=19454"
S13_adj_marital,ic_cfa_c:env_form_c,0.902978239546024,0.8376092862027625,0.9734487362121457,0.007771731927551948,73.73616302948653,5,"N=88115, events=22690"
S15_LOO_excl_CHARLS,ic_cfa_c:env_form_c,0.9247206723639761,0.86764552037117,0.9855503219004431,0.016051380632119295,59.2655771961848,4,"N=79454, events=19536"
S15_LOO_excl_ELSA,ic_cfa_c:env_form_c,0.8945667680980721,0.8117212602434962,0.9858676146358109,0.024638930179387314,79.7989547834673,4,"N=78955, events=19963"
S15_LOO_excl_HRS,ic_cfa_c:env_form_c,0.8739500412640443,0.8173273305437527,0.9344954537581537,8.070016388268848e-5,49.41118303150896,4,"N=67866, events=14518"
S15_LOO_excl_MHAS,ic_cfa_c:env_form_c,0.9090516294516017,0.836590265240855,0.9877892432452561,0.02445857237513435,77.66367557444082,4,"N=80712, events=20980"
S15_LOO_excl_SHARE,ic_cfa_c:env_form_c,0.8867944701149499,0.8056939060680296,0.9760585580996736,0.01408166311635998,78.10341044232061,4,"N=46649, events=15943"
S16_main_reference,ic_cfa_c:env_form_c,0.8978540523346393,0.8335718923361066,0.9670934285397987,0.004472482396636342,73.46991734307957,5,"N=88409, events=22735"
S17_ge3_waves,ic_cfa_c:env_form_c,0.904883252490738,0.8306904843274449,0.9857025162641124,0.022027641273327573,74.14795890396029,5,"N=61460, events=18726"
S1_ic_sum,ic_sum_c:env_form_c,0.8955595417628506,0.838121568818098,0.9569338419168583,0.001107856029988497,51.50264288350485,5,"N=101169, events=26462"
S2_env_4indicator,ic_cfa_c:env4_c,0.9004856370724064,0.8312378407390012,0.9755022483731014,0.010243976194173091,79.8262282029952,5,"N=101997, events=26756"
S4_uncentered_interaction,ic_raw:env_raw,0.8978540523346392,0.8335718923361052,0.9670934285398001,0.004472482396637159,73.46991734308081,5,"N=88409, events=22735"
S5_mortality_only,ic_cfa_c:env_form_c,0.9628588273558218,0.8022038430716193,1.1556877088336994,0.6844658596946369,31.99030994567229,4,"N=79454, events=2208"
S6_CSH_disability,ic_cfa_c:env_form_c,0.8983418525415587,0.8345892780558081,0.9669643562972243,0.004311443830505839,72.18041011563601,5,"N=88409, events=21815, CSH-Disability (death censored)"
S14_CSH_death,ic_cfa_c:env_form_c,0.9225410921997759,0.734170236274578,1.1592434897876365,0.4890134492385672,18.502996457473856,3,"N=70000, events=911, CSH-Death (disability censored)"
S7_adl_ge2_dfs,ic_cfa_c:env_form_c,0.9011426456045774,0.8343161812355023,0.9733217286097406,0.008101726122332033,55.32394706110293,5,"N=88409, events=12701"
S8_age_ge65,ic_cfa_c:env_form_c,0.9174934994499218,0.8436558038774591,0.9977935523752222,0.04426585689366199,66.84194712103378,5,"N=42337, events=14300"
S9_age_ge70,ic_cfa_c:env_form_c,0.933467778755871,0.883367193884566,0.9864098418050207,0.014440408450256265,0,5,"N=25873, events=10087"
S3_objective_env,IC_x_Env_objective,0.9680890658969119,0.948361155700586,0.9882273581912127,0.0020196813412029133,59.02717844783936,5,"N=85585, events=21894, Objective env proxy (financial + living only)"
