model,variable,k,pooled_loghr,pooled_se,pooled_hr,hr_lower,hr_upper,p_value,tau2,I2,Q,Q_p
M1_IC,ic_cfa,5,-0.5168491297514237,0.029335223060266813,0.5963967593740578,0.5630734990505298,0.6316921240151606,1.7695861969608725e-69,0.0030431917035473027,72.2263358455814,16.34946681416934,0.0025843530580709935
M2_Env,env_formative,5,-0.22111881130511563,0.027244635281526704,0.8016214329434199,0.7599388456199865,0.8455903069805666,4.816039144216186e-16,0.0031030196689610418,86.55824620917271,23.685117666939885,9.236206006759236e-5
M3_Both,env_formative,5,-0.16079391828358158,0.03465275624821347,0.8514675249166285,0.7955575634357277,0.9113067102984321,3.4815970864795147e-6,0.005342504156116772,91.34783710492574,32.75857857889929,1.3384342961210428e-6
M3_Both,ic_cfa,5,-0.46997752605533577,0.035876479839098155,0.6250163147069319,0.582576871253532,0.6705473782529023,3.2978526552416604e-39,0.005113175708263895,80.87223408832418,23.790369419689018,8.798618482202495e-5
M4_Interaction,env_formative,5,-0.16191265405082692,0.03434774971966727,0.8505154903786958,0.7951432384141424,0.909743759900213,2.429922870265952e-6,0.005236130835389953,91.1611415235634,33.51945638250955,9.349294562599911e-7
M4_Interaction,ic_cfa,5,-0.47359189896291465,0.03664134018566433,0.6227613502682937,0.5796054844698003,0.6691304857868301,3.249993026364349e-38,0.005381416387520443,81.52222111767924,25.01900295995115,4.986913773750667e-5
M4_Interaction,ic_env_cont,5,-0.10774774912841696,0.03790252189113896,0.8978540523346402,0.8335718923361103,0.9670934285397964,0.00447248239663489,0.005079764350169307,73.46991734307693,14.892923499427697,0.004928531902177864
M5_6group,High IC / Low Env,5,0.297999540115799,0.02423677114804185,1.347161168341274,1.2846628900605797,1.4126999600658239,9.594246369090769e-35,3.430527055172769e-7,0.010719246772736666,4.3610801500696805,0.35933899590887247
M5_6group,Low IC / High Env,5,0.5962211825449845,0.08117697173009977,1.8152463391286873,1.5482375842365717,2.128303372343792,2.0620823421001435e-13,0.029044023127333004,89.78734030918613,46.787229962014244,1.6887224104334097e-9
M5_6group,Low IC / Low Env,5,0.7412004091991095,0.024848186764303788,2.098453005474064,1.9987037752312518,2.2031804166045785,1.636331903457914e-195,4.333425661869332e-4,13.587472433751097,4.392273252403181,0.35551286209894495
M5_6group,Medium IC / High Env,5,0.27995884592302556,0.06034929478032257,1.323075361271742,1.1754797964592323,1.4892033167029106,3.5014206987987368e-6,0.014891460992658789,84.20418746114095,23.388357073928905,1.0589791102145198e-4
M5_6group,Medium IC / Low Env,5,0.5070288653752592,0.030071123252456058,1.660350733638517,1.5653204240326226,1.7611503155321435,8.711963405698537e-64,0.0015972767233142673,36.12304406306465,6.031705297244177,0.19679298152434957
