cohort,ic_stratum,outcome,time_horizon_years,standardization,env_low_value,env_high_value,risk_low_env,se_risk_low_env,risk_low_env_ci_lower,risk_low_env_ci_upper,risk_high_env,se_risk_high_env,risk_high_env_ci_lower,risk_high_env_ci_upper,risk_difference,se_risk_difference,rd_ci_lower,rd_ci_upper,p_value,n,n_events,baseline_hazard_5y
CHARLS,Low,DFS event (first ADL disability or death),5,Observed covariates within IC stratum; environment set to cohort-specific P25 vs P75,-0.18415978998610774,0.5316909137619018,0.38562791688194714,0.05204330654665531,0.28362303605050276,0.4876327977133915,0.3701314059674414,0.051680162820281254,0.26883828683969013,0.4714245250951926,0.015496510914505768,0.007680439538691472,4.4284941867048233e-4,0.030550172410341053,0.04362674752170642,2222,1032,0.019212174102024953
CHARLS,Medium,DFS event (first ADL disability or death),5,Observed covariates within IC stratum; environment set to cohort-specific P25 vs P75,-0.18415978998610774,0.5316909137619018,0.3071262011792234,0.04445520931438608,0.21999399092302668,0.3942584114354201,0.2755595362662979,0.04156841717948802,0.1940854385945014,0.35703363393809445,0.03156666491292548,0.005271136179074277,0.021235238001939896,0.04189809182391106,2.1167009764464848e-9,3123,1205,0.019212174102024953
CHARLS,High,DFS event (first ADL disability or death),5,Observed covariates within IC stratum; environment set to cohort-specific P25 vs P75,-0.18415978998610774,0.5316909137619018,0.24192905114837698,0.03745258844402233,0.16852197779809322,0.3153361244986608,0.19993143173947042,0.03234622793153652,0.13653282499365885,0.263330038485282,0.04199761940890656,0.007383274070685391,0.027526402230363196,0.05646883658744993,1.2837728265984828e-8,3320,891,0.019212174102024953
ELSA,Low,DFS event (first ADL disability or death),5,Observed covariates within IC stratum; environment set to cohort-specific P25 vs P75,-0.36024617051811236,0.700378306145551,0.28977861877677924,0.043242295965373344,0.20502371868464747,0.374533518868911,0.27959450582380824,0.04416054894259898,0.19303982989631424,0.36614918175130223,0.010184112952971003,0.008239330169969663,-0.005964974180169537,0.026333200086111543,0.216444990786554,1896,853,0.004421750927792709
ELSA,Medium,DFS event (first ADL disability or death),5,Observed covariates within IC stratum; environment set to cohort-specific P25 vs P75,-0.36024617051811236,0.700378306145551,0.17872931070900647,0.02917403030725152,0.1215482113067935,0.23591041011121944,0.1616423007477254,0.027933936982285267,0.10689178426244628,0.21639281723300452,0.01708700996128107,0.003908762094841378,0.009425836255391968,0.02474818366717017,1.2341660955508316e-5,2859,843,0.004421750927792709
ELSA,High,DFS event (first ADL disability or death),5,Observed covariates within IC stratum; environment set to cohort-specific P25 vs P75,-0.36024617051811236,0.700378306145551,0.1174505862712219,0.02031605844413634,0.07763111172071469,0.15727006082172912,0.0998231938806469,0.018182323730234134,0.06418583936938799,0.1354605483919058,0.01762739239057501,0.00400822905227424,0.009771263448117498,0.02548352133303252,1.0935334009250787e-5,4699,1076,0.004421750927792709
HRS,Low,DFS event (first ADL disability or death),5,Observed covariates within IC stratum; environment set to cohort-specific P25 vs P75,-0.30348486815141484,0.7002081915610223,0.26609995050650065,0.02160471760853917,0.22375470399376388,0.30844519701923745,0.22524378537432235,0.0203027451058798,0.18545040496679793,0.2650371657818468,0.040856165132178296,0.004320049824556547,0.03238886747604747,0.049323462788309125,3.1588670335722926e-21,5060,2571,0.002193051377207358
HRS,Medium,DFS event (first ADL disability or death),5,Observed covariates within IC stratum; environment set to cohort-specific P25 vs P75,-0.30348486815141484,0.7002081915610223,0.18381478917322233,0.016074993641350826,0.15230780163617472,0.21532177671026995,0.1523880066420314,0.014334930849498646,0.12429154217701405,0.18048447110704874,0.03142678253119094,0.0027554107060038554,0.026026177547423382,0.036827387514958496,3.9260433915804264e-30,6816,2764,0.002193051377207358
HRS,High,DFS event (first ADL disability or death),5,Observed covariates within IC stratum; environment set to cohort-specific P25 vs P75,-0.30348486815141484,0.7002081915610223,0.13748770960648174,0.012717865979411686,0.11256069228683484,0.16241472692612863,0.11256979612252814,0.011020443952705919,0.09096972597522454,0.13416986626983174,0.0249179134839536,0.002909191953763264,0.0192158972545776,0.030619929713329597,1.0785540713554306e-17,8667,2882,0.002193051377207358
MHAS,Low,DFS event (first ADL disability or death),5,Observed covariates within IC stratum; environment set to cohort-specific P25 vs P75,-0.41447383720177766,0.5282410411798816,0.22796424670390056,0.046494433867799334,0.13683515632301385,0.31909333708478727,0.2410237983474139,0.050202006478548056,0.1426278656494597,0.33941973104536804,-0.013059551643513329,0.01090139918014011,-0.034426294036587944,0.008307190749561287,0.2309286082023968,2000,663,0.00851840056718702
MHAS,Medium,DFS event (first ADL disability or death),5,Observed covariates within IC stratum; environment set to cohort-specific P25 vs P75,-0.41447383720177766,0.5282410411798816,0.15533092885366087,0.03323877431010012,0.09018293120586464,0.22047892650145712,0.1496375831505027,0.03286750811861997,0.08521726723800757,0.21405789906299785,0.005693345703158159,0.005145751471259643,-0.0043923271805107415,0.015779018586827058,0.2685461718184748,2453,602,0.00851840056718702
MHAS,High,DFS event (first ADL disability or death),5,Observed covariates within IC stratum; environment set to cohort-specific P25 vs P75,-0.41447383720177766,0.5282410411798816,0.10744617582921343,0.02415619535538296,0.06010003293266282,0.15479231872576404,0.09414079425829436,0.021612375221673544,0.05178053882381421,0.1365010496927745,0.013305381570919067,0.00570006707161323,0.002133250110557136,0.024477513031280998,0.019582635093254964,3242,489,0.00851840056718702
SHARE,Low,DFS event (first ADL disability or death),5,Observed covariates within IC stratum; environment set to cohort-specific P25 vs P75,-0.37039834463866955,0.6508973401842192,0.22063442356757137,0.022060453668353172,0.17739593437759915,0.2638729127575436,0.18723279191844372,0.02030076043812495,0.14744330145971882,0.22702228237716862,0.033401631649127655,0.004775236095443666,0.02404216890205807,0.04276109439619724,2.6571290601737664e-12,10544,2727,8.300897382400433e-4
SHARE,Medium,DFS event (first ADL disability or death),5,Observed covariates within IC stratum; environment set to cohort-specific P25 vs P75,-0.37039834463866955,0.6508973401842192,0.1312470552108484,0.014126333966011807,0.10355944063746525,0.15893466978423154,0.10567018334404016,0.012029001040504736,0.08209334130465087,0.12924702538342944,0.025576871866808237,0.0029168019984652307,0.019859939949816385,0.03129380378380009,1.8057030148555493e-18,14410,2184,8.300897382400433e-4
SHARE,High,DFS event (first ADL disability or death),5,Observed covariates within IC stratum; environment set to cohort-specific P25 vs P75,-0.37039834463866955,0.6508973401842192,0.0890340872330367,0.010042638027459451,0.06935051669921617,0.10871765776685723,0.06880065309809318,0.008146540839741164,0.05283343305220049,0.08476787314398586,0.020233434134943523,0.0027961637431397064,0.0147529531983897,0.025713915071497347,4.616325759643976e-13,16794,1876,8.300897382400433e-4
