Variable,Overall,CHARLS,ELSA,HRS,MHAS,SHARE
N,"102,006","10,056"," 9,834","20,550"," 7,697","53,869"
"Age, years, mean (SD)",67.0 (7.1),65.0 (6.1),65.6 (6.6),66.0 (7.4),68.0 (6.9),67.8 (7.1)
"Chronic diseases, mean (SD)",1.3 (1.2),1.6 (1.5),1.0 (1.0),1.6 (1.3),1.1 (0.9),1.1 (1.1)
Immediate recall (0-10),5.2 (1.8),3.7 (1.7),5.9 (1.7),5.6 (1.7),5.8 (1.5),5.1 (1.8)
Delayed recall (0-10),4.0 (2.2),3.0 (2.1),4.5 (2.1),4.6 (2.1),5.3 (2.6),3.6 (2.1)
Depression score,2.5 (3.1),7.5 (5.8),1.2 (1.7),1.2 (1.7),3.0 (2.5),2.2 (2.1)
"Grip strength, kg",33.2 (11.3),30.1 (10.0),33.4 (11.0),34.3 (11.0),25.3 (8.6),33.6 (11.4)
Self-rated health (1-5),2.9 (1.0),2.9 (0.9),3.2 (1.1),2.6 (1.0),2.4 (0.8),3.1 (1.0)
"IC CFA score, mean (SD)",0.1 (0.5),0.1 (0.5),0.2 (0.5),0.1 (0.5),0.1 (0.6),0.1 (0.4)
"Env formative index, mean (SD)",0.1 (0.7),0.1 (0.7),0.2 (0.8),0.2 (0.7),0.1 (0.6),0.1 (0.7)
"Social participation, count",1.1 (1.4),0.6 (1.0),0.3 (0.9),0.6 (0.6),1.4 (0.9),1.4 (1.6)
"Follow-up waves, mean (SD)",4.0 (2.2),3.6 (1.2),5.1 (2.3),6.1 (2.9),2.7 (0.5),3.2 (1.3)
"Follow-up time, years, mean (SD)",6.6 (4.2),5.2 (2.7),7.2 (4.5),8.8 (5.8),4.8 (1.5),6.2 (3.6)
"Female, n (%)","54,802 (53.7)","4,865 (48.4)","5,240 (53.3)","11,323 (55.1)","4,155 (54.0)","29,219 (54.2)"
"Married/partnered, n (%)","94,025 (92.2)","9,400 (93.5)","9,225 (93.8)","19,213 (93.5)","6,537 (84.9)","49,650 (92.2)"
"Living alone, n (%)","18,428 (18.1)",730 (7.3),"2,063 (21.0)","4,062 (19.8)",512 (6.7),"11,061 (20.5)"
"Multimorbidity (>=2), n (%)","36,519 (36.0)","4,211 (43.6)","2,731 (27.8)","10,010 (48.7)","2,481 (32.2)","17,086 (31.8)"
"DFS event (first disability or death), n (%)","26,758 (26.2)","3,558 (35.4)","2,857 (29.1)","8,222 (40.0)","1,755 (22.8)","10,366 (19.2)"
"Death as first DFS event, n (%)","2,644 (2.6)",8 (0.1),26 (0.3),"1,455 (7.1)",27 (0.4),"1,128 (2.1)"
"Died (any time during follow-up), n (%)","19,307 (18.9)","1,094 (10.9)",376 (3.8),"8,209 (39.9)",513 (6.7),"9,115 (16.9)"
