Variable,Overall,High IC / High Env,High IC / Low Env,Medium IC / High Env,Medium IC / Low Env,Low IC / High Env,Low IC / Low Env
N,"88,409","24,686","12,168","16,432","13,341"," 8,802","12,980"
"Age, years, mean (SD)",66.7 (7.1),64.3 (5.1),65.7 (6.1),66.0 (6.3),67.5 (7.3),68.7 (7.7),71.0 (8.7)
"Chronic diseases, mean (SD)",1.3 (1.2),1.2 (1.1),1.3 (1.2),1.3 (1.2),1.4 (1.2),1.4 (1.2),1.5 (1.2)
Immediate recall (0-10),5.3 (1.8),6.6 (1.4),6.4 (1.4),5.1 (1.3),4.9 (1.3),3.7 (1.5),3.4 (1.5)
Delayed recall (0-10),4.1 (2.2),5.7 (1.7),5.4 (1.8),3.9 (1.6),3.6 (1.6),2.1 (1.7),1.8 (1.6)
Depression score,2.5 (3.2),1.5 (2.2),1.8 (2.5),2.4 (3.1),2.8 (3.2),3.7 (4.0),4.2 (3.9)
"Grip strength, kg",33.3 (11.3),37.4 (11.4),35.4 (11.0),33.7 (10.8),31.8 (10.3),29.5 (10.0),26.7 (9.8)
Self-rated health (1-5),2.9 (1.0),2.8 (1.0),3.2 (1.0),2.7 (1.0),3.1 (1.0),2.7 (1.0),3.1 (1.1)
"IC CFA score, mean (SD)",0.1 (0.5),0.6 (0.3),0.5 (0.2),0.0 (0.1),0.0 (0.1),-0.5 (0.2),-0.5 (0.3)
"Env formative index, mean (SD)",0.1 (0.7),0.7 (0.4),-0.5 (0.4),0.6 (0.4),-0.5 (0.4),0.5 (0.3),-0.6 (0.5)
"Social participation, count",1.3 (1.5),1.9 (1.7),1.0 (1.1),1.8 (1.6),0.8 (1.0),1.4 (1.4),0.6 (0.9)
"Follow-up waves, mean (SD)",4.0 (2.2),4.2 (2.4),4.1 (2.2),4.1 (2.3),3.8 (2.0),3.9 (2.2),3.5 (1.8)
"Follow-up time, years, mean (SD)",6.3 (4.1),7.0 (4.4),6.6 (4.1),6.6 (4.3),5.9 (3.7),6.0 (4.1),5.2 (3.3)
"Female, n (%)","47,680 (53.9)","12,342 (50.0)","7,009 (57.6)","8,182 (49.8)","7,787 (58.4)","4,446 (50.5)","7,914 (61.0)"
"Married/partnered, n (%)","81,518 (92.2)","23,861 (96.7)","10,283 (84.5)","15,914 (96.8)","11,558 (86.6)","8,564 (97.3)","11,338 (87.3)"
"Living alone, n (%)","15,493 (17.5)",612 (2.5),"5,041 (41.4)",341 (2.1),"4,763 (35.7)",125 (1.4),"4,611 (35.5)"
"Multimorbidity (>=2), n (%)","33,006 (37.5)","7,975 (32.4)","4,468 (36.9)","5,877 (35.9)","5,272 (39.7)","3,577 (40.7)","5,837 (45.1)"
"DFS event (first disability or death), n (%)","22,735 (25.7)","4,302 (17.4)","2,937 (24.1)","3,743 (22.8)","3,882 (29.1)","2,867 (32.6)","5,004 (38.6)"
"Death as first DFS event, n (%)","2,215 (2.5)",396 (1.6),253 (2.1),361 (2.2),360 (2.7),288 (3.3),557 (4.3)
"Died (any time during follow-up), n (%)","15,586 (17.6)","2,673 (10.8)","1,933 (15.9)","2,533 (15.4)","2,635 (19.8)","2,069 (23.5)","3,743 (28.8)"
