Variable,Overall,CHARLS,ELSA,HRS,MHAS,SHARE
N,"174,546","15,264","14,663","28,694","13,355","102,570"
"  Age, years, mean (SD)",68.0 (8.0),65.5 (6.6),66.7 (7.6),66.8 (8.4),68.6 (8.0),68.8 (7.9)
"  Female, n (%)","94,916 (54.4)","7,653 (50.1)","7,825 (53.4)","16,177 (56.4)","7,354 (55.1)","55,907 (54.5)"
"  Education, years, mean (SD)",9.6 (4.9),—,2.9 (1.7),12.2 (3.4),5.2 (4.6),10.3 (4.4)
"  Married/partnered, n (%)","159,880 (91.6)","14,242 (93.3)","13,694 (93.4)","26,391 (92.0)","11,238 (84.1)","94,315 (92.0)"
"  Living alone, n (%)","34,444 (19.7)","1,266 (8.3)","3,421 (23.3)","6,334 (22.1)",967 (7.2),"22,456 (21.9)"
"  Chronic diseases, mean (SD)",1.4 (1.3),1.8 (1.6),1.2 (1.1),1.9 (1.4),1.2 (1.0),1.3 (1.2)
"  Multimorbidity (>=2), n (%)","71,968 (41.5)","7,204 (49.4)","5,161 (35.2)","16,061 (56.0)","5,026 (37.6)","38,516 (37.7)"
  Immediate recall (0-10),5.0 (1.9),3.6 (1.8),5.6 (1.8),5.4 (1.8),5.8 (1.6),4.9 (1.9)
  Delayed recall (0-10),3.7 (2.2),3.1 (2.2),4.2 (2.2),4.4 (2.1),5.2 (2.6),3.4 (2.1)
  Depression score,2.8 (3.4),8.6 (6.4),1.5 (1.9),1.6 (2.0),3.4 (2.7),2.5 (2.3)
"  Grip strength, kg",32.3 (11.6),29.0 (10.3),32.5 (11.4),33.6 (11.0),24.4 (8.7),32.6 (11.7)
"  Self-rated health (1-5, higher=better)",3.1 (1.1),3.1 (1.0),3.0 (1.1),2.9 (1.1),2.3 (0.8),3.3 (1.1)
"  IC CFA score, mean (SD)",0.0 (0.5),0.0 (0.5),0.1 (0.6),0.1 (0.5),0.0 (0.6),0.0 (0.5)
"  IC sum score, mean (SD)",0.0 (0.4),0.0 (0.4),0.0 (0.5),-0.0 (0.4),0.0 (0.4),0.0 (0.4)
"  Social participation, count",1.1 (1.4),0.5 (0.9),0.3 (0.8),0.5 (0.6),1.3 (0.9),1.3 (1.5)
"  Env formative index, mean (SD)",0.0 (0.7),0.1 (0.7),0.1 (0.8),0.1 (0.8),0.0 (0.6),0.0 (0.7)
"  Any ADL disability, n (%)","26,435 (15.3)","3,278 (21.8)","2,845 (19.6)","5,262 (18.4)","2,261 (18.7)","12,789 (12.5)"
"  Any IADL disability, n (%)","21,492 (13.2)","3,959 (26.2)",898 (15.1),"4,168 (15.3)","1,507 (12.4)","10,960 (10.7)"
"  Died (ever), n (%)","36,333 (20.8)","2,320 (15.2)",788 (5.4),"12,514 (43.6)","2,020 (15.1)","18,691 (18.2)"
"  Follow-up waves, mean (SD)",3.0 (2.2),3.2 (1.4),4.3 (2.6),5.2 (3.2),2.3 (0.9),2.3 (1.5)
