Variable,Overall,High IC / High Env,High IC / Low Env,Medium IC / High Env,Medium IC / Low Env,Low IC / High Env,Low IC / Low Env
N,"151,980","36,009","20,173","25,787","24,114","15,946","29,951"
"Age, years",67.7 (7.9),64.4 (5.2),66.0 (6.5),66.2 (6.6),68.1 (7.7),69.7 (8.4),72.6 (9.4)
"Female, n (%)","82,937 (54.6)","17,855 (49.6)","11,475 (56.9)","12,942 (50.2)","13,995 (58.0)","8,187 (51.3)","18,483 (61.7)"
"Education, years",9.7 (4.8),11.4 (4.9),10.1 (4.6),10.4 (4.8),9.2 (4.4),8.8 (5.0),7.7 (4.4)
"Married/partnered, n (%)","139,349 (91.7)","34,665 (96.3)","17,029 (84.4)","24,909 (96.6)","20,921 (86.8)","15,481 (97.1)","26,344 (88.0)"
Chronic diseases,1.5 (1.3),1.2 (1.2),1.4 (1.3),1.4 (1.2),1.5 (1.3),1.6 (1.3),1.8 (1.4)
IC CFA score,0.0 (0.5),0.6 (0.3),0.5 (0.2),0.0 (0.1),0.0 (0.1),-0.5 (0.3),-0.6 (0.3)
Env formative index,0.0 (0.7),0.7 (0.4),-0.5 (0.4),0.6 (0.3),-0.5 (0.4),0.5 (0.3),-0.6 (0.5)
"Any ADL disability, n (%)","23,437 (15.4)","2,363 (6.6)","2,320 (11.5)","2,613 (10.1)","3,755 (15.6)","3,330 (20.9)","9,056 (30.3)"
"Any IADL disability, n (%)","18,591 (13.1)","1,393 (4.2)","1,651 (8.8)","1,771 (7.3)","2,873 (12.6)","2,649 (18.1)","8,254 (29.5)"
"Died (ever), n (%)","29,559 (19.4)","3,854 (10.7)","3,422 (17.0)","3,851 (14.9)","4,907 (20.3)","3,902 (24.5)","9,623 (32.1)"
Follow-up waves,3.0 (2.3),3.4 (2.5),3.1 (2.3),3.2 (2.4),2.8 (2.1),3.0 (2.2),2.5 (1.9)
