term,estimate,std.error,statistic,p.value,conf.low,conf.high,cohort,n,log_hr,se_log_hr
traj_4grpIC_decline/Env_decline,1.2529691760519528,0.13096069872967966,1.7220133802025932,0.0850670947070366,0.9693183587899041,1.6196244937485866,CHARLS,6425,0.2255160754931892,0.13096069872967966
traj_4grpIC_decline/Env_stable,1.597119216646995,0.04898229480681952,9.558586805028838,1.1937557055977631e-21,1.4509202105676668,1.7580496664148915,CHARLS,6425,0.46820151682049765,0.04898229480681952
traj_4grpIC_stable/Env_decline,1.359847239839223,0.10078845256437358,3.0496784301280786,0.0022908650733841473,1.1160890254742744,1.6568432029089748,CHARLS,6425,0.30737236979155713,0.10078845256437358
traj_4grpIC_decline/Env_decline,1.824480233145697,0.09801364953612943,6.134810259184701,8.526089322011958e-10,1.505600647078801,2.2108971111282716,ELSA,7841,0.6012951427143807,0.09801364953612943
traj_4grpIC_decline/Env_stable,2.219569203277243,0.08661192042230305,9.205581871273452,3.398250264438136e-20,1.873028949975179,2.6302249349653986,ELSA,7841,0.797313124475732,0.08661192042230305
traj_4grpIC_stable/Env_decline,1.2570225320839026,0.05279562762330781,4.332666643629264,1.4731408027427731e-5,1.1334525471117742,1.3940642245614943,ELSA,7841,0.22874585473297748,0.05279562762330781
traj_4grpIC_decline/Env_decline,1.9154820586714787,0.057267154401746206,11.34977502392641,7.435376582116668e-30,1.7121121069304601,2.1430089199418005,HRS,17990,0.6499693187202765,0.057267154401746206
traj_4grpIC_decline/Env_stable,1.6465796575441671,0.04353831752909024,11.454282799384218,2.238080646194049e-30,1.5118992883172124,1.7932573879679101,HRS,17990,0.4987002015875867,0.04353831752909024
traj_4grpIC_stable/Env_decline,1.4558316350149274,0.03403362171134956,11.035478709308949,2.5767563108592114e-28,1.361888902447526,1.5562545121714872,HRS,17990,0.37557730779627296,0.03403362171134956
traj_4grpIC_decline/Env_decline,2.337651780471672,0.2008805064378122,4.227124512739327,2.3669670266245318e-5,1.5768486895355032,3.465529624375123,MHAS,4838,0.8491469128947662,0.2008805064378122
traj_4grpIC_decline/Env_stable,2.502887924167918,0.08437842631349497,10.87298347373294,1.550462642447688e-27,2.12137944396774,2.953006817690675,MHAS,4838,0.9174452348462235,0.08437842631349497
traj_4grpIC_stable/Env_decline,1.0331976608555908,0.13675730220311957,0.23880639447109753,0.8112557116035466,0.7902698032826306,1.3508012098694437,MHAS,4838,0.032658518256721183,0.13675730220311957
traj_4grpIC_decline/Env_decline,2.182639975171446,0.05154587433767543,15.142533751710765,8.487946274481641e-52,1.9729050173819527,2.4146713700075297,SHARE,31684,0.7805351419196921,0.05154587433767543
traj_4grpIC_decline/Env_stable,1.964236934024102,0.041357102521134205,16.323770283863297,6.687469053636074e-60,1.8113010690261173,2.130085825576671,SHARE,31684,0.6751038411611784,0.041357102521134205
traj_4grpIC_stable/Env_decline,1.3119636374924548,0.03486176080065236,7.7886190650148315,6.774551448600833e-15,1.2253140508796316,1.4047407559447955,SHARE,31684,0.2715249748119477,0.03486176080065236
