variable,Overall,CHARLS,ELSA,HRS,MHAS,SHARE
age,100,100,100,100,100,100
female,100,100,100,100,100,100
edu_years,91,0,98.1,99.7,98.9,100
marital,99.3,99.9,100,100,100,98.8
imrc,92.8,82.7,95,82.5,90.8,97.1
dlrc,92.6,81.2,95,82.5,90.8,96.9
ser7,62.1,77.7,11.2,82.5,22.8,66.5
depression,96.6,91.2,94.9,91.1,90.8,100
vision_r,97.6,86,99.9,99.9,89.3,99.4
hearing_r,92.9,89,99.9,99.9,23.7,99.5
grip_max,63.1,59.6,23.3,13.8,8.5,90.3
gait_speed,15.4,55.5,85,0.7,8.4,4.5
bmi,86.8,59.9,23.7,98.4,87,96.5
srh,98,96,91.6,99.9,90.8,99.5
ic_cfa,98.1,92.9,96.1,99.9,90.8,99.6
ic_sum,96.5,92,95.5,91.2,90.8,99.6
social_participation,89.1,100,100,38,90.8,100
financial_strain,86.3,65.8,98.3,100,98.5,82.3
living_arrangement,100,100,100,100,100,100
social_contact,9.1,0,0,13.3,90.6,0
env_formative,88.8,92,98.7,100,99.9,82.3
ic_env_6grp,87.1,86.7,94.9,99.9,90.8,81.9
adl_total,99.1,98.5,99,99.8,90.7,100
iadl_total,93.4,98.9,40.5,95.1,90.7,100
person_died,100,100,100,100,100,100
death_year,20.8,15.2,5.4,43.6,15.1,18.2
chronic_n,99.4,95.5,99.9,100,100,99.6
loneliness,11.5,90.4,17.4,13.2,0,0
country,100,100,100,100,100,100
